E R G B UV 
7259265 323906 432753 444747 1358 
7277312 204411 416575 435917 1327 
7293757 164503 392066 413011 1547 
7318933 107881 392559 415458 1704 
7339094 73154 390400 416238 1562 
7361359 36742 380359 430834 1269 

E R G B UV 
7919177 325843 418187 423825 1389 
7936622 254558 421398 426815 2025 
7949858 176396 412646 426634 1773 
7962892 112256 401106 425417 1557 
7976228 68424 351092 396674 1450 
8008718 37205 373363 424248 1149 
