E R G B UV 
3436519 392210 402696 386158 420 
3467321 244799 391620 384774 410 
3485984 153802 378745 381606 400 
3517995 97638 368100 380538 393 
3536056 63232 355926 378068 396 
3554217 39904 345103 373197 409 

E R G B UV 
0.0 392210 402696 386158 420 
0.2 244799 391620 384774 410 
0.4 153802 378745 381606 400 
0.6 97638 368100 380538 393 
0.8 63232 355926 378068 396 
1.0 39904 345103 373197 409 
