E R G B UV 
19119489 63264 165841 66698 0 
19141316 39918 161746 66467 0 
19167563 25199 154092 65574 -2 
19183675 16009 149716 65717 0 
19217549 10264 143486 65085 0 
19233660 6491 137746 64518 0 

E R G B UV 
0.0 63264 165841 66698 0 
0.2 39918 161746 66467 0 
0.4 25199 154092 65574 -2 
0.6 16009 149716 65717 0 
0.8 10264 143486 65085 0 
1.0 6491 137746 64518 0 
