E R G B UV 
876617 318992 377616 427474 470 
896829 317500 75568 297408 452 
927039 317392 79084 301087 434 
957249 318002 82658 303978 441 
987459 317532 86162 306919 440 
1017671 317897 89634 310221 440 
1047881 316435 93325 313110 442 
1078091 318157 96929 315793 443 
1108301 317133 100455 318641 440 
1138511 318290 104176 321272 442 
1168721 318324 107781 323817 438 
1198931 318404 111344 326101 441 
1229142 318264 115081 328699 444 
1259352 318469 118727 331238 445 
1289562 318694 122319 333489 442 
1319772 318912 125934 335532 444 
1349982 318749 129584 337899 448 
1380192 319019 133245 339999 449 
1410402 319038 136596 341882 453 
1440612 319330 140327 343924 445 
1470822 319464 143936 345925 458 
1501032 319407 147408 347659 455 
1531242 319597 150898 349661 458 
1561452 319480 154355 351431 458 
1591662 319730 157822 353194 460 
1621872 319776 161352 355081 460 
1652082 319871 164731 356584 458 
1682292 319867 168156 358284 458 
1712502 319848 171327 359937 458 
1742712 320102 174584 361252 456 
1772922 320164 177954 362939 460 
1803132 320255 181211 364302 462 
1833342 320092 184364 365764 462 
1863553 320387 187557 367175 466 
1893763 320037 190688 368538 470 
1923973 320466 193683 369710 470 
1954183 320420 196660 371018 468 
1984393 320518 199731 372244 469 
2014603 320488 202761 373391 461 
2044813 320573 205564 374395 465 
2075023 320708 208479 374914 474 
2105233 320511 210450 376950 474 
2135443 320770 214029 377902 467 
2165653 320852 216626 378935 468 
2195863 320885 219330 380074 469 
2226073 320850 221978 380835 468 
2256283 320950 224563 381672 475 
2286493 320689 226996 382761 475 

