E R G B UV 
103849 312961 355800 349642 1109 
124061 309886 170472 296605 1067 
154271 309750 186417 303581 1056 
184481 310181 201908 308998 1059 
214693 310512 216575 313642 1061 
244903 310423 230210 317718 1062 
275113 310568 242723 321474 1071 
305324 311024 254317 324720 1075 
335534 311118 264804 327524 1070 
365744 311209 274317 330120 1070 
395954 311269 282706 332203 1071 
426164 311361 290460 334180 1084 
456374 311471 297372 335761 1084 
486584 311579 303378 337319 1078 
516794 311588 308842 338541 1078 
547004 311436 313376 339638 1077 
577214 311647 317775 340493 1079 
607424 311754 321445 341425 1080 
637634 311798 324880 342079 1085 
667844 311774 327671 342633 1089 
698054 311770 330346 343252 1088 
728264 311747 332526 343757 1079 
758474 311921 334579 344110 1082 
788686 311860 336317 344592 1085 
818896 311838 337732 344801 1079 
849106 311913 339088 345074 1082 
879316 311903 340250 345357 1082 
909527 311780 341299 345507 1082 
939737 311927 342106 345831 1082 
969947 311918 342874 345968 1074 
1000157 311929 343477 346122 1083 
1030367 311938 344014 346176 1085 
1060577 312019 344577 346382 1084 
1090787 311830 344989 346417 1084 
1120997 311990 345431 346359 1085 
1151207 311795 345637 346219 1087 
1181417 312053 345485 346660 1086 
1211627 311992 346232 346467 1088 
1241837 311967 346382 346568 1086 
1272047 311899 346553 346672 1084 
1302257 311984 346868 346824 1086 
1332467 311925 346855 346796 1085 
1362677 311981 347046 346674 1081 
1392887 311899 347098 346820 1085 
1423097 312008 347143 346812 1085 
1453307 312033 347285 346747 1084 
1483517 311961 347349 346739 1085 
1513728 311988 347493 346743 1084 
