E R G B UV 
11282044 285809 343924 354312 210 
11307819 169925 262474 259027 93 
11344334 131262 262110 300607 209 
11388878 124735 262081 323410 295 
11411347 118813 265186 323755 237 
11437727 109352 261735 326136 190 
11464611 111085 264935 328174 217 

E R G B UV 
0 285809 343924 354312 210 
0 169925 262474 259027 93 
0.02 131262 262110 300607 209 
0.04 124735 262081 323410 295 
0.06 118813 265186 323755 237 
0.08 109352 261735 326136 190 
0.10 111085 264935 328174 217 
