E R G B UV 
8369498 394921 405597 391338 423 
8398895 231872 308806 278168 417 
8434618 178040 300191 326086 547 
8475256 170215 300772 343414 540 
8502650 161235 301701 350972 541 
8530245 148304 296657 352920 507 
8546600 152296 301077 354648 524 

E R G B UV 
0.00 394921 405597 391338 423 
0.00 231872 308806 278168 417 
0.02 178040 300191 326086 547 
0.04 170215 300772 343414 540 
0.06 161235 301701 350972 541 
0.08 148304 296657 352920 507 
0.10 152296 301077 354648 524 
