E R G B UV 
24049985 63432 163626 67938 4 
24080242 38158 127192 48416 -1 
24112510 29318 121301 56675 0 
24136450 27857 119039 59547 -1 
24171728 26393 118559 60641 -9 
24199983 24202 116066 61068 -1 
24228438 24731 119490 61256 -2 

E R G B UV 
0.00 63432 163626 67938 4 
0.00 38158 127192 48416 -1 
0.02 29318 121301 56675 0 
0.04 27857 119039 59547 -1 
0.06 26393 118559 60641 -9 
0.08 24202 116066 61068 -1 
0.10 24731 119490 61256 -2 
