E R G B T 
8291913 311669 373691 421494 3919 
8309839 292779 56603 264414 3919 
8327766 292658 67538 276759 3916 
8345692 294318 79723 288429 3913 
8363618 294316 92608 298803 3912 
8381544 294552 105527 308255 3911 
8399470 295131 119114 316724 3909 
8417396 295459 132239 325323 3911 
8435322 295430 145561 333009 3909 
8453249 296345 158628 338906 3908 
8471175 296551 170323 344448 3909 
8489101 296145 181790 349370 3908 
8507027 296636 192502 354605 3907 
8524953 296153 202435 358088 3907 
8542879 297268 211105 361725 3909 
8560805 296928 219778 364485 3906 
8578732 296863 227251 366891 3906 
8596658 297180 233538 369014 3906 
8614584 296726 239561 370987 3906 
8632510 296708 243659 373421 3906 
8650436 297064 249708 374892 3908 
8668362 298020 254037 376213 3906 
8686288 296802 257107 378039 3906 
8704215 297741 260714 378713 3907 
8722141 297859 263196 379282 3909 
8740067 297481 265852 380387 3908 
8757993 297658 268122 381067 3908 
8775919 298510 270253 382176 3908 
8793845 297389 271595 382050 3909 
8811771 298405 273028 383281 3911 
8829698 297380 274492 383326 3911 
8847624 298850 274701 384035 3913 
8865550 298165 275491 382921 3913 
8883476 298123 277383 383927 3914 
8901402 297959 277224 384039 3915 
8919328 298156 277851 383541 3915 
8937254 298461 278075 384039 3914 
8955181 297189 278541 384467 3917 
8973107 297740 279006 384177 3917 
8991033 297581 279216 385621 3919 
9008959 297825 279414 385052 3920 
9026885 298546 279286 384418 3921 
9044811 297772 278756 385028 3922 
9062737 297922 279331 384706 3924 
9080664 298153 279733 384913 3924 
9098590 298411 279908 385185 3924 
9116516 298763 280058 385791 3925 
9134442 298263 280728 385186 3926 
