E R G B T 
10239066 312209 373272 421739 3933 
10256992 301620 54096 266344 3936 
10274918 301880 56864 269941 3933 
10292844 304166 59804 274233 3931 
10310770 304442 62447 277331 3927 
10328696 304420 65102 280185 3926 
10346622 304506 67971 283170 3925 
10364549 304681 70752 285848 3926 
10382475 305133 73643 288786 3926 
10400401 304861 76398 291448 3924 
10418327 304603 79367 294136 3924 
10436253 305331 82319 297022 3923 
10454179 305057 85257 299417 3922 
10472105 305739 88119 301661 3921 
10490032 305575 90991 303999 3919 
10507958 305849 94023 306342 3920 
10525884 305633 96952 308477 3921 
10543810 305567 99845 310856 3921 
10561736 305045 102614 312741 3921 
10579662 305754 105423 314758 3920 
10597588 305415 108304 316555 3919 
10615515 305893 111169 318136 3920 
10633441 305691 113732 320383 3920 
10651367 305946 116335 321833 3919 
10669293 306033 119152 323652 3920 
10687219 305504 121643 325540 3919 
10705145 305831 123656 326159 3923 
10723072 306114 126713 328508 3923 
10740998 306180 129256 330135 3922 
10758924 305937 131447 331767 3922 
10776850 306453 133647 333263 3925 
10794776 306657 136178 334446 3924 
10812702 307362 138402 336248 3925 
10830628 307150 140480 337483 3924 
10848555 306990 142669 338158 3925 
10866481 306934 144611 339606 3926 
10884407 307050 146583 340849 3927 
10902333 307244 148583 342228 3929 
10920259 307512 150277 342822 3930 
10938185 306549 152155 343738 3932 
10956111 307111 153655 344712 3929 
10974038 307064 155470 345495 3933 
10991964 307030 157271 346529 3933 
11009890 307329 158859 346901 3934 
11027816 307229 160462 348011 3935 
11045742 307042 161894 348847 3936 
11063668 307481 163298 349568 3938 
11081594 307090 164436 350060 3937 

