E R G B T 
2057650 389996 407693 388330 2475 
2075580 383677 100589 278469 2480 
2103506 384289 104111 281051 2483 
2131433 384542 107755 283540 2484 
2159360 384615 111298 285681 2484 
2187286 384680 114950 288065 2487 
2215213 384670 118507 290292 2488 
2243139 384320 122116 291876 2489 
2271066 384966 125748 292840 2489 
2298992 385337 129473 294910 2488 
2326919 382478 132628 296984 2489 
2354845 381626 136227 300056 2490 
2382772 385428 140191 302128 2489 
2410698 385789 143778 303878 2490 
2438625 385894 147368 305605 2489 
2466551 385855 150937 307193 2490 
2494478 385964 154499 309004 2489 
2522404 386013 157881 310724 2490 
2550331 386162 161598 312231 2490 
2578257 386306 165071 313745 2491 
2606184 386448 168396 315363 2490 
2634110 386339 171839 316783 2489 
2662037 386408 175158 318228 2489 
2689964 385520 178277 319696 2491 
2717890 386617 181804 320974 2492 
2745817 386714 185035 322226 2488 
2773743 386755 188313 323549 2490 
2801670 386669 191492 324831 2488 
2829596 386975 194491 325996 2489 
2857523 386773 197549 327170 2489 
2885449 386517 200738 328164 2487 
2913376 386905 203814 329507 2488 
2941302 387059 206763 330670 2490 
2969229 387039 209558 331712 2489 
2997155 386826 212391 332657 2487 
3025082 386570 215272 333759 2487 
3053008 387118 218137 334590 2487 
3080935 387201 220906 335597 2487 
3108861 387296 223644 336647 2487 
3136788 387264 226328 337413 2487 
3164715 387504 228766 338402 2486 
3192641 387575 231318 339219 2485 
3220568 387219 233620 339729 2485 
3248494 387171 236077 340930 2485 
3276421 387362 238653 341520 2485 
3304347 387331 241043 342268 2485 
3332274 386898 243319 342952 2485 
3360200 387553 245509 343627 2485 
