sp4
E R G B T 
7405617 289637 343049 368225 1464 
7423539 278243 120725 276537 1480 
7491436 278855 135862 285781 1516 
7559333 278783 151273 293497 1532 
7627231 279673 165170 300403 1542 
7695128 280928 179000 306363 1548 
7763025 280273 191325 311616 1554 
7830923 280842 203091 316659 1560 
7898820 281328 214267 321005 1565 
7966717 281221 224814 325124 1567 
8034615 281953 234243 328530 1567 
8102512 281899 242547 331376 1569 
8170409 281801 251237 334631 1569 
8238307 281911 258949 337404 1572 
8306204 282855 266240 338688 1572 
8374102 283291 272181 341795 1573 
8441999 282793 277826 343723 1574 
8509896 282459 283200 346676 1573 
8577794 283866 289281 347675 1573 
8645691 285000 293965 349257 1573 
8713588 283473 297642 350403 1572 
8781486 284177 301481 351733 1572 
8849383 285180 305430 353272 1572 
8917280 286275 308986 353948 1570 
8985178 285079 311103 353940 1569 
9053075 284910 314541 355023 1569 
9120972 284333 316941 355346 1569 
9188870 284369 318251 356274 1566 
9256767 284063 319618 356265 1566 
9324664 283524 321022 356160 1565 
9392562 284370 323388 356487 1563 
9460459 285013 325008 357775 1562 
9528356 284009 325860 358140 1560 
9596254 284120 327191 357706 1558 
9664151 284275 327777 357060 1558 
9732048 283593 327902 357488 1556 
9799946 283867 328387 357606 1556 
9867843 283388 329370 357960 1555 
9935740 285266 331148 359368 1551 
10003638 284767 331456 358890 1552 
10071535 284605 331289 358808 1548 
10139432 285136 333067 359452 1548 
10207330 283940 333877 356438 1546 
10275227 284412 334259 357366 1546 
10343124 283622 333493 357376 1545 
10411022 283480 334311 357094 1541 
10478919 283625 333908 358142 1541 
10546817 284290 334273 357984 1541 
