sp1
E R G B T 
4419733 315207 352270 356711 1265 
4437657 315640 193718 312265 1278 
4505556 315695 212049 318746 1308 
4573456 315231 228071 321911 1317 
4641355 315996 242517 327965 1317 
4709253 316298 253981 331199 1316 
4777152 316058 265598 334370 1311 
4845049 316280 275519 336756 1307 
4912949 316381 284371 339154 1298 
4980846 316522 291932 341379 1291 
5048745 316325 299138 343023 1284 
5116643 316815 304954 344586 1274 
5184542 316333 310555 346054 1265 
5252442 316970 315578 347182 1257 
5320341 316345 319783 348103 1248 
5388240 316758 323502 349136 1238 
5456140 316640 326741 349908 1230 
5524039 316958 329922 350496 1220 
5591939 316870 332502 351327 1211 
5659838 317129 335208 351910 1200 
5727737 316991 337042 352501 1190 
5795637 316813 338823 353051 1182 
5863536 316950 340530 353369 1174 
5931436 316931 341841 353663 1166 
5999335 316960 343354 354066 1156 
6067234 316958 344210 354379 1147 
6135134 317116 345326 354563 1140 
6203033 316683 346284 354827 1132 
6270932 316786 347167 354831 1123 
6338832 316793 347749 355193 1116 
6406731 316766 348485 355580 1108 
6474631 316934 348929 355467 1100 
6542530 316942 349339 356109 1093 
6610429 317325 349991 356201 1085 
6678329 317462 349945 356280 1079 
6746228 317078 350467 356407 1071 
6814128 317164 350865 356628 1063 
6882027 317093 351266 356722 1057 
6949926 317416 351701 356843 1052 
7017826 317312 351738 357178 1044 
7085725 317400 352023 357517 1037 
7153625 317375 352333 357370 1032 
7221524 317454 352378 357694 1025 
7289423 317140 352567 357648 1021 
7357323 317478 352953 357742 1014 
7425222 317297 352981 357784 1008 
7493122 317217 353058 357935 1003 
7561021 317124 353115 357869 999 
