E R G B T 
541618 318203 355660 348116 2431 
559540 307434 42065 210981 2435 
587460 307007 52030 222666 2437 
615380 308935 63195 233718 2438 
643301 309460 74727 243903 2439 
671221 309948 88151 253048 2441 
699142 310603 101603 261317 2442 
727062 310659 115420 269757 2443 
754982 311082 129225 276826 2443 
782903 311750 143062 283412 2445 
810823 311746 156672 288992 2447 
838744 312152 169726 294503 2445 
866664 312431 182452 299091 2446 
894584 312615 194494 303449 2448 
922505 312489 205733 307210 2447 
950425 313048 216501 310637 2450 
978345 313038 226392 313587 2447 
1006266 312913 235531 316089 2449 
1034186 313270 243876 318637 2449 
1062107 313438 251288 320586 2449 
1090027 313622 258453 322848 2447 
1117947 313605 264485 324485 2448 
1145868 313761 270388 326055 2447 
1173788 313800 275555 327258 2446 
1201709 313569 280134 328639 2447 
1229629 313894 284346 329524 2446 
1257549 313470 287832 330245 2447 
1285470 313952 291388 331202 2447 
1313390 313783 294493 332052 2447 
1341310 313714 297113 332699 2448 
1369231 314115 299530 333332 2445 
1397151 314083 301681 333850 2446 
1425072 314010 303667 334222 2444 
1452992 313989 305152 334545 2444 
1480912 314195 306678 334799 2445 
1508833 314238 308029 335264 2443 
1536753 314155 309135 335507 2444 
1564674 314150 310261 335843 2443 
1592594 314169 311050 336118 2442 
1620514 314136 311864 336273 2444 
1648435 314127 312399 336139 2444 
1676355 314240 313285 336562 2442 
1704275 314127 313818 336714 2444 
1732196 314251 314160 336792 2442 
1760116 314072 314770 336812 2443 
1788037 314093 314987 337057 2443 
1815957 314085 315375 337114 2442 
1843877 314145 315590 337128 2443 

