E R G B T 
458776 388222 410606 390290 2417 
476704 392881 95673 282195 2419 
504631 393991 107812 291495 2425 
532557 394642 120246 299492 2425 
560484 395110 132850 306597 2429 
588410 395442 145540 313167 2430 
616337 395674 158273 319464 2430 
644263 395590 170869 325243 2432 
672190 396278 183323 330706 2433 
700116 396675 195399 335553 2437 
728043 396772 207224 340114 2438 
755970 396800 218640 343976 2440 
783896 397040 229578 348041 2439 
811823 397116 240255 351629 2441 
839749 397142 250259 354615 2443 
867676 397079 259718 357854 2443 
895602 397683 268814 360527 2445 
923529 397350 277296 363011 2445 
951455 397744 285177 365461 2447 
979382 397940 292804 367531 2448 
1007308 397882 299961 369431 2447 
1035235 398058 306500 371094 2448 
1063161 397579 312629 372521 2449 
1091088 398050 318440 374326 2450 
1119014 398187 323563 375615 2450 
1146941 397541 328541 376869 2451 
1174867 397923 333197 377876 2451 
1202794 398336 337258 378857 2451 
1230721 398264 341207 379986 2453 
1258647 398475 344689 380836 2453 
1286574 398557 347953 381431 2452 
1314500 398377 350860 382362 2452 
1342427 398317 353428 382616 2452 
1370353 398409 355983 383484 2453 
1398280 398436 358301 384041 2454 
1426206 398416 360444 384577 2454 
1454133 398675 362442 384975 2454 
1482059 398720 364248 385518 2454 
1509986 398531 365650 385514 2454 
1537912 398827 367316 386219 2456 
1565839 398713 368512 386414 2456 
1593765 398804 369837 386636 2454 
1621692 398849 370984 386855 2456 
1649618 398533 372107 387264 2456 
1677545 398802 373104 387517 2456 
1705472 398862 373885 387711 2455 
1733398 398765 374530 387830 2457 
1761325 398791 375235 387834 2457 
