E R G B T 
7234045 313536 374186 421014 3914 
7251968 291527 6985 138768 3909 
7269894 293816 9925 160253 3907 
7287820 295019 13969 180161 3905 
7305746 296139 19445 200109 3905 
7323672 297853 26396 219109 3902 
7341598 298554 35190 237114 3900 
7359524 299517 45104 253419 3900 
7377451 300574 56015 267695 3899 
7395377 301522 67802 280862 3899 
7413303 301881 79951 292559 3897 
7431229 302421 92110 302798 3897 
7449155 302772 104212 311417 3896 
7467081 303353 115495 318864 3896 
7485007 304188 126127 325595 3896 
7502934 303518 135614 330948 3895 
7520860 303880 144104 335568 3894 
7538786 304005 151667 339831 3894 
7556712 303737 158193 342892 3894 
7574638 304433 164386 345573 3894 
7592564 303910 169133 348220 3894 
7610490 304828 173609 349712 3894 
7628417 304821 177013 351510 3894 
7646343 304126 180157 352560 3895 
7664269 304791 182581 353347 3895 
7682195 304226 184871 354275 3896 
7700121 304612 186701 355436 3895 
7718047 304580 187854 355952 3896 
7735973 304549 189440 356309 3896 
7753900 304331 190178 356803 3897 
7771826 304134 190947 356646 3896 
7789752 304057 191718 356968 3897 
7807678 303998 192168 357006 3899 
7825604 304128 192503 357016 3898 
7843530 304360 192853 357209 3900 
7861456 303938 192850 357053 3901 
7879383 304197 193230 357204 3900 
7897309 304065 193281 357467 3901 
7915235 303722 193042 356692 3903 
7933161 303463 192949 356927 3903 
7951087 302851 193004 356521 3905 
7969013 303308 193212 356178 3906 
7986939 303194 193159 356332 3907 
8004866 303447 192728 355596 3908 
8022792 303186 192606 354954 3908 
8040718 302807 192404 355201 3907 
8058644 302450 192301 355526 3910 
8076570 303340 192437 355028 3912 
