E G 
2139543 354629 
2152853 118651 
2176155 124738 
2199457 131063 
2222759 137350 
2246062 143367 
2269364 149503 
2292666 155580 
2315968 161690 
2339270 167582 
2362572 173245 
2385874 178966 
2409177 184348 
2432479 189616 
2455781 194675 
2479083 199472 
2502385 204631 
2525687 209495 
2548989 214138 
2572292 218561 
2595594 223012 
2618896 226952 
2642198 231402 
2665500 235762 
2688802 239795 
2712104 243569 
2735407 247268 
2758709 250939 
2782011 254475 
2805313 257698 
2828615 260970 
2851917 264004 
2875219 266939 
2898522 269250 
2921824 272312 
2945126 274670 
2968428 277604 
2991730 279996 
3015032 282281 
3038334 284408 
3061637 286554 
3084939 288485 
3108241 290333 
3131543 292157 
3154845 293767 
3178147 295613 
3201449 297266 
3224752 298724 
3248054 300191 
3271356 301613 
3294658 302981 
3317960 304195 
3341262 305416 
3364564 306584 
3387867 307687 
3411169 308648 
3434471 309707 
3457773 310651 
3481075 311582 
3504377 312436 
3527680 313224 
3550982 313814 
3574284 314529 
3597586 315259 
3620888 315822 
3644190 316396 
3667492 317002 
3690795 317617 
3714097 318166 
3737399 318618 
3760701 319192 
3784003 319578 
3807305 320008 
3830607 320391 
3853910 320747 
3877212 321002 
3900514 321628 
3923816 321888 
3947118 322088 
3970420 322445 
3993722 322790 
4017025 323108 
4040327 323167 
4063629 323483 
4086931 323728 
4110233 323920 
4133535 324103 
4156837 324261 
4180140 324333 
4203442 324426 
4226744 324585 
4250046 324763 
4273348 324748 
4296650 324802 
4319952 324792 
4343255 324749 
4366557 325080 
4389859 324940 
4413161 324988 
4436463 325210 
4459765 324998 
4483067 325376 
4506370 325148 
4529672 325063 
4552974 325162 
4576276 325270 
4599578 324974 
4622880 325251 
4646182 325259 
4669485 325021 
4692787 324855 
4716089 324800 
4739391 324758 
4762693 324581 
4785995 324886 
4809297 324689 
4832600 324511 
4855902 324621 
4879204 324273 
4902506 324180 

